subject_id,subject_cluster,ref_cluster
599671,0,0
599671,1,1
599671,2,2
599671,3,3
599671,4,4
599671,5,5
599671,6,6
599671,7,7
599671,8,8
599671,9,9
599671,10,10
599671,11,11
599671,13,13
599671,16,16
599671,18,18
599671,19,19
771354,16,0
771354,0,1
771354,8,2
771354,6,3
771354,11,4
771354,18,5
771354,17,6
771354,5,7
771354,4,8
771354,19,9
771354,1,10
771354,3,13
771354,10,16
771354,14,18
771354,12,19
191942,2,0
191942,15,1
191942,3,2
191942,0,3
191942,13,4
191942,18,5
191942,1,6
191942,6,7
191942,10,8
191942,17,9
191942,7,10
191942,9,11
191942,4,13
191942,5,16
191942,11,18
191942,12,19
195849,11,0
195849,4,1
195849,6,2
195849,12,3
195849,0,4
195849,1,5
195849,10,6
195849,13,7
195849,14,8
195849,19,9
195849,16,10
195849,5,11
195849,18,13
195849,8,16
195849,7,18
195849,3,19
177342,0,0
177342,18,1
177342,19,2
177342,11,3
177342,9,4
177342,4,5
177342,8,6
177342,15,7
177342,5,8
177342,17,9
177342,6,10
177342,10,11
177342,7,13
177342,1,16
177342,2,18
177342,16,19
393550,18,0
393550,2,1
393550,11,2
393550,4,3
393550,12,4
393550,16,5
393550,17,6
393550,6,7
393550,0,8
393550,9,9
393550,3,10
393550,19,13
393550,10,16
393550,14,18
393550,13,19
173132,0,0
173132,15,1
173132,3,2
173132,2,3
173132,16,4
173132,11,5
173132,18,6
173132,8,7
173132,6,8
173132,13,9
173132,1,10
173132,4,11
173132,9,13
173132,5,16
173132,14,18
173132,10,19
101410,3,0
101410,6,1
101410,15,2
101410,13,3
101410,4,4
101410,11,5
101410,8,6
101410,1,7
101410,9,8
101410,7,9
101410,17,10
101410,18,11
101410,10,13
101410,16,16
101410,2,18
101410,12,19
677766,3,0
677766,5,1
677766,18,2
677766,10,3
677766,2,4
677766,13,5
677766,17,6
677766,15,7
677766,19,8
677766,14,9
677766,16,10
677766,6,11
677766,7,13
677766,8,16
677766,1,18
677766,11,19
937160,10,0
937160,3,1
937160,17,2
937160,15,3
937160,16,4
937160,6,5
937160,19,6
937160,13,7
937160,8,8
937160,5,9
937160,12,10
937160,7,11
937160,9,13
937160,14,16
937160,18,18
937160,2,19
211619,10,0
211619,4,1
211619,3,2
211619,18,3
211619,14,4
211619,9,5
211619,5,6
211619,16,7
211619,7,8
211619,12,9
211619,17,10
211619,1,11
211619,15,13
211619,11,16
211619,6,18
211619,2,19
454140,3,0
454140,18,1
454140,19,2
454140,16,4
454140,9,5
454140,13,6
454140,12,7
454140,8,8
454140,11,9
454140,0,10
454140,7,11
454140,14,13
454140,1,16
454140,10,18
454140,6,19
622236,19,0
622236,17,1
622236,5,2
622236,10,3
622236,1,4
622236,2,5
622236,13,6
622236,8,7
622236,14,8
622236,12,9
622236,3,10
622236,7,11
622236,9,13
622236,15,16
622236,6,18
622236,16,19
378857,0,0
378857,8,1
378857,4,2
378857,3,3
378857,1,4
378857,16,5
378857,17,6
378857,18,7
378857,7,8
378857,15,9
378857,5,10
378857,10,11
378857,12,13
378857,11,16
378857,19,18
378857,2,19
207426,1,0
207426,9,1
207426,4,3
207426,19,4
207426,3,5
207426,10,6
207426,12,7
207426,0,8
207426,5,9
207426,16,10
207426,14,11
207426,17,13
207426,8,16
207426,6,18
207426,11,19
901442,17,0
901442,7,1
901442,12,2
901442,2,3
901442,8,4
901442,3,5
901442,14,6
901442,16,7
901442,9,8
901442,19,9
901442,11,10
901442,5,11
901442,15,13
901442,6,16
901442,13,18
901442,4,19
835657,17,0
835657,5,1
835657,2,2
835657,4,3
835657,19,4
835657,9,5
835657,0,6
835657,11,7
835657,15,8
835657,1,9
835657,16,10
835657,12,13
835657,6,16
835657,14,18
835657,8,19
130518,4,0
130518,0,1
130518,19,2
130518,3,3
130518,2,4
130518,12,5
130518,11,6
130518,6,7
130518,1,8
130518,9,9
130518,17,10
130518,8,11
130518,18,13
130518,7,16
130518,15,18
130518,13,19
172938,10,0
