subject_id,subject_cluster,ref_cluster
599671,0,0
599671,1,1
599671,2,2
599671,3,3
599671,4,4
599671,5,5
599671,6,6
599671,7,7
599671,10,10
599671,11,11
599671,12,12
599671,13,13
599671,15,15
771354,2,0
771354,4,1
771354,11,2
771354,14,3
771354,7,4
771354,1,5
771354,10,6
771354,0,7
771354,3,10
771354,6,11
771354,12,12
771354,9,13
771354,15,15
191942,7,0
191942,15,1
191942,4,2
191942,12,3
191942,11,4
191942,2,5
191942,6,6
191942,1,7
191942,10,10
191942,3,11
191942,9,12
191942,5,13
191942,13,15
195849,12,0
195849,9,1
195849,13,2
195849,10,3
195849,11,4
195849,15,5
195849,14,6
195849,8,7
195849,1,10
195849,7,11
195849,4,12
195849,6,13
195849,2,15
177342,14,0
177342,13,1
177342,15,2
177342,12,3
177342,7,4
177342,10,5
177342,3,6
177342,2,7
177342,9,10
177342,0,11
177342,4,12
177342,11,13
177342,6,15
393550,11,0
393550,10,1
393550,13,2
393550,2,3
393550,7,4
393550,6,5
393550,1,6
393550,9,7
393550,15,10
393550,5,11
393550,12,12
393550,14,13
393550,4,15
677766,13,0
677766,10,1
677766,5,2
677766,0,3
677766,3,4
677766,1,5
677766,6,6
677766,2,7
677766,12,11
677766,14,12
677766,7,13
677766,11,15
937160,15,0
937160,1,1
937160,3,2
937160,12,3
937160,8,4
937160,7,5
937160,2,6
937160,11,7
937160,13,10
937160,0,11
937160,6,12
937160,5,13
937160,4,15
173132,11,0
173132,8,1
173132,7,2
173132,2,3
173132,15,4
173132,10,5
173132,3,6
173132,5,7
173132,4,10
173132,9,11
173132,12,12
173132,0,13
173132,1,15
211619,4,0
211619,5,1
211619,9,2
211619,10,3
211619,8,4
211619,7,5
211619,11,6
211619,3,7
211619,13,10
211619,14,11
211619,6,12
211619,0,13
211619,15,15
454140,15,0
454140,6,2
454140,12,3
454140,9,4
454140,8,5
454140,11,6
454140,7,11
454140,0,13
454140,3,15
101410,2,0
101410,5,1
101410,9,2
101410,8,3
101410,12,4
101410,15,5
101410,4,6
101410,13,7
101410,0,10
101410,14,11
101410,1,12
101410,7,13
101410,3,15
622236,8,0
622236,3,1
622236,12,2
622236,7,3
622236,6,4
622236,0,5
622236,2,6
622236,4,7
622236,11,10
622236,13,11
622236,1,12
622236,9,13
622236,10,15
835657,8,0
835657,9,1
835657,12,2
835657,3,3
835657,11,4
835657,2,5
835657,15,6
835657,0,7
835657,14,10
835657,13,11
835657,4,12
835657,7,13
835657,6,15
378857,4,0
378857,7,1
378857,1,2
378857,0,3
378857,8,4
378857,12,5
378857,14,6
378857,6,7
378857,10,10
378857,5,11
378857,9,12
378857,3,13
378857,11,15
207426,5,0
207426,7,1
207426,0,2
207426,6,3
207426,11,4
207426,14,5
207426,15,6
207426,13,7
207426,1,10
207426,9,11
207426,3,12
207426,8,13
207426,12,15
901442,14,0
901442,2,1
901442,5,2
901442,0,3
901442,11,4
901442,6,5
901442,9,6
901442,1,7
901442,8,10
901442,7,11
901442,4,12
901442,10,13
901442,15,15
130518,3,0
130518,15,1
130518,12,2
130518,14,3
130518,1,4
130518,9,5
130518,2,6
130518,13,7
130518,10,10
130518,8,11
130518,5,12
130518,0,13
130518,11,15
172938,6,0
172938,12,1
172938,15,2
172938,14,3
172938,2,4
172938,4,5
172938,8,6
172938,3,7
172938,11,10
172938,10,11
172938,1,12
172938,9,13
172938,0,15
318637,8,0
318637,2,1
318637,13,2
318637,5,3
318637,11,4
318637,4,5
318637,7,6
318637,12,7
318637,6,10
318637,15,11
318637,9,12
318637,1,13
318637,10,15
117324,2,0
117324,9,1
117324,6,2
117324,5,3
117324,11,4
117324,1,5
117324,8,6
117324,4,7
117324,10,10
117324,15,11
117324,7,12
117324,3,13
117324,0,15
352132,15,0
352132,11,1
352132,4,2
352132,2,3
352132,12,4
352132,10,5
352132,14,6
352132,5,7
352132,1,10
352132,9,11
352132,13,12
352132,6,13
352132,7,15
397861,0,0
397861,3,1
397861,9,2
