subject_id,subject_cluster,ref_cluster
599671,0,0
599671,1,1
599671,2,2
599671,3,3
599671,4,4
599671,5,5
599671,6,6
599671,7,7
599671,8,8
599671,9,9
599671,10,10
599671,11,11
771354,7,0
771354,0,1
771354,10,2
771354,4,3
771354,2,4
771354,3,5
771354,9,6
771354,1,8
771354,5,9
771354,8,10
771354,11,11
835657,0,0
835657,8,1
835657,9,2
835657,2,4
835657,4,5
835657,1,6
835657,3,7
835657,11,8
835657,10,9
835657,7,10
835657,6,11
393550,11,0
393550,7,1
393550,1,2
393550,8,4
393550,4,5
393550,0,6
393550,2,7
393550,9,9
393550,5,10
393550,10,11
211619,1,0
211619,4,1
211619,5,2
211619,7,3
211619,9,4
211619,3,5
211619,11,6
211619,2,7
211619,8,8
211619,10,9
211619,0,10
211619,6,11
207426,3,0
207426,2,1
207426,11,2
207426,0,3
207426,5,4
207426,7,5
207426,9,6
207426,6,7
207426,8,8
207426,10,10
207426,4,11
177342,3,0
177342,6,1
177342,10,2
177342,1,4
177342,4,5
177342,7,6
177342,5,7
177342,2,8
177342,0,9
177342,8,10
177342,9,11
454140,3,0
454140,7,1
454140,10,2
454140,0,4
454140,5,5
454140,9,6
454140,11,7
454140,8,8
454140,1,10
454140,6,11
677766,9,0
677766,10,1
677766,8,2
677766,5,4
677766,2,5
677766,6,6
677766,0,8
677766,7,9
677766,3,10
195849,0,0
195849,11,1
195849,9,2
195849,10,4
195849,3,5
195849,2,6
195849,8,7
195849,5,8
195849,4,9
195849,1,10
195849,7,11
622236,11,0
622236,1,1
622236,9,2
622236,7,4
622236,4,5
622236,2,6
622236,8,7
622236,5,8
622236,3,10
622236,0,11
191942,3,0
191942,2,1
191942,8,2
191942,5,4
191942,1,5
191942,11,6
191942,9,7
191942,0,8
191942,4,10
191942,6,11
378857,9,0
378857,4,1
378857,11,2
378857,10,4
378857,3,5
378857,8,6
378857,2,7
378857,0,8
378857,6,10
378857,7,11
130518,2,0
130518,7,1
130518,10,2
130518,1,4
130518,8,5
130518,11,6
130518,0,7
130518,6,8
130518,9,9
130518,3,10
130518,4,11
173132,11,0
173132,10,1
173132,0,2
173132,9,4
173132,4,5
173132,5,6
173132,8,7
173132,3,8
173132,7,9
173132,1,10
173132,2,11
901442,11,0
901442,8,1
901442,4,2
901442,9,3
901442,10,4
901442,0,5
901442,6,6
901442,2,7
901442,7,8
901442,3,9
901442,5,10
901442,1,11
101410,1,0
101410,0,1
101410,5,2
101410,10,4
101410,3,5
101410,9,6
101410,7,7
101410,4,8
101410,11,9
101410,2,11
937160,9,0
937160,4,1
937160,3,2
937160,11,3
937160,10,4
937160,7,5
937160,0,6
937160,5,7
937160,6,8
937160,2,9
937160,8,10
937160,1,11
172938,0,0
172938,3,1
172938,7,2
172938,11,3
172938,4,4
172938,5,5
172938,9,6
172938,8,7
172938,2,9
172938,6,10
172938,10,11
318637,0,0
318637,4,1
318637,1,2
318637,10,4
318637,8,5
318637,9,6
318637,2,7
318637,11,9
318637,7,10
318637,3,11
117324,1,0
117324,0,1
117324,2,2
117324,11,3
117324,6,4
117324,3,5
117324,9,6
117324,10,7
117324,7,8
117324,5,9
117324,4,10
117324,8,11
109123,11,0
109123,10,1
109123,1,2
109123,3,4
109123,9,5
109123,5,6
109123,2,7
109123,4,8
109123,7,9
109123,8,10
109123,0,11
352132,6,0
352132,8,1
352132,4,2
352132,5,3
352132,10,4
352132,2,5
352132,11,6
352132,7,7
352132,1,8
352132,0,10
352132,3,11
397861,9,0
397861,0,1
397861,6,2
397861,10,4
397861,5,5
397861,3,6
397861,2,7
397861,11,8
397861,4,9
397861,1,10
397861,7,11
120212,6,1
120212,5,2
120212,2,4
120212,8,5
120212,11,6
120212,1,7
120212,0,9
120212,10,10
120212,7,11
192540,4,0
192540,8,1
192540,3,2
192540,6,4
192540,7,5
192540,1,6
192540,5,7
192540,10,8
192540,0,9
192540,9,10
192540,11,11
597869,9,0
597869,10,1
597869,1,2
597869,8,4
